ID,Language_ID,Parameter_ID,Value
dist-babu1240,babu1240,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-baeg1237,baeg1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bael1237,bael1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-baho1237,baho1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bala1310,bala1310,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-bala1316,bala1316,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-balu1257,balu1257,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bang1365,bang1365,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-banj1239,banj1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bann1247,bann1247,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-bant1288,bant1288,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bari1286,bari1286,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-baro1253,baro1253,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bata1289,bata1289,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bata1290,bata1290,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bata1291,bata1291,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bata1293,bata1293,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bata1298,bata1298,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-baub1235,baub1235,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bebe1252,bebe1252,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-beka1241,beka1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bela1260,bela1260,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-beta1252,beta1252,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-biak1248,biak1248,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-biem1237,biem1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bilu1244,bilu1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bima1247,bima1247,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-bino1237,bino1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-bint1246,bint1246,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-blab1237,blab1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bobo1254,bobo1254,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-boli1256,boli1256,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bong1289,bong1289,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-boto1242,boto1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bowa1234,bowa1234,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-brun1242,brun1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-buga1250,buga1250,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-buhi1245,buhi1245,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-buhu1237,buhu1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-buka1261,buka1261,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-buli1255,buli1255,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-burm1263,burm1263,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-buru1303,buru1303,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-butm1237,butm1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bwan1241,bwan1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bwat1240,bwat1240,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-bwen1239,bwen1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-caac1237,caac1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-capi1239,capi1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-caro1242,caro1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-casi1235,casi1235,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-cebu1242,cebu1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-cemu1238,cemu1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-cent2053,cent2053,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-cent2084,cent2084,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-cent2087,cent2087,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-cent2089,cent2089,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-cent2092,cent2092,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-cent2100,cent2100,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-cent2101,cent2101,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-cham1312,cham1312,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-chek1238,chek1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-chru1239,chru1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-chuu1238,chuu1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-cota1241,cota1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-daii1240,daii1240,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-daka1243,daka1243,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-damb1246,damb1246,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-dawe1237,dawe1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-dehu1237,dehu1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-diba1242,diba1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-dixo1238,dixo1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-dori1246,dori1246,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-duke1237,duke1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-dumb1241,dumb1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-dupa1235,dupa1235,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-east2440,east2440,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-east2462,east2462,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-east2563,east2563,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-emba1238,emba1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-empl1237,empl1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-engg1245,engg1245,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-eton1255,eton1255,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-fata1245,fata1245,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-fiji1243,fiji1243,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-fwai1237,fwai1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-gadd1244,gadd1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-gane1237,gane1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-gaoo1237,gaoo1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-gayo1244,gayo1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-gebe1237,gebe1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-gese1240,gese1240,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-ghar1239,ghar1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-ghay1237,ghay1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-gilb1244,gilb1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-gimi1242,gimi1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-gora1262,gora1262,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-goro1259,goro1259,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-gula1270,gula1270,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-haek1239,haek1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-hanu1241,hanu1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-have1241,have1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-herm1237,herm1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-hili1240,hili1240,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-hiww1237,hiww1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-hmwa1243,hmwa1243,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-hoav1238,hoav1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-hula1239,hula1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-iaai1238,iaai1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-ibal1244,ibal1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-iban1264,iban1264,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-ibat1238,ibat1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-idaa1241,idaa1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-ilia1236,ilia1236,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-ilok1237,ilok1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-ilon1239,ilon1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-inab1237,inab1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-indo1316,indo1316,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-indo1317,indo1317,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-iray1237,iray1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-irig1242,irig1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-isna1241,isna1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-itaw1240,itaw1240,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-jamb1236,jamb1236,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-jara1266,jara1266,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-java1254,java1254,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-jawe1237,jawe1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kaga1256,kaga1256,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-kahu1241,kahu1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-kaie1237,kaie1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kaim1241,kaim1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-kair1263,kair1263,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kala1388,kala1388,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kana1286,kana1286,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kand1301,kand1301,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-kani1282,kani1282,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kank1243,kank1243,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kapp1237,kapp1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-katb1237,katb1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kaul1240,kaul1240,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kayu1243,kayu1243,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kazu1245,kazu1245,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-keap1239,keap1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-keda1252,keda1252,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-kela1255,kela1255,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kela1258,kela1258,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kele1258,kele1258,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-kele1259,kele1259,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-keri1250,keri1250,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kili1267,kili1267,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-kiok1239,kiok1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-kiss1246,kiss1246,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-koko1269,koko1269,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kome1238,kome1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kono1269,kono1269,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-koro1308,koro1308,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-koro1310,koro1310,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kosr1238,kosr1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kowi1239,kowi1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-kulo1237,kulo1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kuma1276,kuma1276,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kusa1251,kusa1251,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-kwam1252,kwam1252,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-labe1239,labe1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-labo1244,labo1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lagh1246,lagh1246,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-laha1253,laha1253,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lama1277,lama1277,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-lama1278,lama1278,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-lamo1244,lamo1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lamp1242,lamp1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lamp1243,lamp1243,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lare1249,lare1249,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lauu1247,lauu1247,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lava1239,lava1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lawa1257,lawa1257,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lawu1237,lawu1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-leha1243,leha1243,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-leha1244,leha1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-leip1237,leip1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-lele1267,lele1267,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-leme1238,leme1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lesi1239,lesi1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lete1241,lete1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-levu1239,levu1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-lewo1244,lewo1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-liab1237,liab1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-lihi1237,lihi1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-limo1248,limo1248,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-ling1265,ling1265,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-litz1237,litz1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-loni1238,loni1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-lonw1238,lonw1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lore1244,lore1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lote1237,lote1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-louu1245,louu1245,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-lowe1412,lowe1412,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-lubu1243,lubu1243,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-lund1271,lund1271,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-maan1238,maan1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mada1285,mada1285,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-maee1241,maee1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mafe1237,mafe1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-maga1263,maga1263,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-magi1241,magi1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-maii1238,maii1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-main1275,main1275,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mala1479,mala1479,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mala1484,mala1484,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-male1289,male1289,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-malf1237,malf1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-malu1245,malu1245,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mamb1305,mamb1305,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-mamu1254,mamu1254,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mana1295,mana1295,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-mang1403,mang1403,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mans1262,mans1262,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-maor1246,maor1246,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-mapu1244,mapu1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mars1254,mars1254,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-masb1238,masb1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-masi1266,masi1266,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-mask1242,mask1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-matb1237,matb1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mati1250,mati1250,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mato1252,mato1252,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mbul1263,mbul1263,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-mede1237,mede1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-meng1267,meng1267,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-ment1249,ment1249,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mina1268,mina1268,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mind1255,mind1255,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-moda1244,moda1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-moke1240,moke1240,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-moke1242,moke1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-moki1238,moki1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mokl1243,mokl1243,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mono1273,mono1273,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-mori1268,mori1268,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mori1269,mori1269,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-morm1235,morm1235,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mort1237,mort1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mota1237,mota1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-motl1237,motl1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-mouk1239,mouk1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-mpot1241,mpot1241,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-murp1234,murp1234,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-muss1246,muss1246,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-mutu1242,mutu1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-nali1245,nali1245,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-nang1262,nang1262,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-nara1263,nara1263,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-nasa1239,nasa1239,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nasa1240,nasa1240,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nasv1234,nasv1234,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nati1244,nati1244,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-natu1246,natu1246,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-naun1237,naun1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-naur1243,naur1243,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-navw1234,navw1234,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-neku1237,neku1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nemi1240,nemi1240,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-neng1238,neng1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nese1235,nese1235,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-ngaj1237,ngaj1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nias1242,nias1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nimo1246,nimo1246,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-nisv1234,nisv1234,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-niti1249,niti1249,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nort2828,nort2828,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nort2836,nort2836,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nort2839,nort2839,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nort2847,nort2847,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-nort2860,nort2860,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,phonological change
dist-nort2877,nort2877,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nort2994,nort2994,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nucl1460,nucl1460,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nume1242,nume1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-nyal1254,nyal1254,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-orko1234,orko1234,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-oroh1237,oroh1237,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-orow1242,orow1242,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-otda1235,otda1235,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
dist-paam1238,paam1238,Is_distinctness_due_to_lexical_replacement_or_phonological_change?,lexical replacement
